,Tracking Number,Description/Basis for Appeal
813,EPA-R7-2015-001267,"Environmental Operations, Inc. is conducting Phase I Environmental Assessment on properties located in Missouri. Under the Freedom of Information Act, we request any information, complaints, or environmental concerns (e.g., RCRA, superfund, air emissions, water emissions, industrial activities, etc.) your agency may have regarding these sites and surrounding properties.

In addition, a general zip code search is a sufficient response to this request.  We will notify your office if we need additional information.  

We are willing to pay up to $25 for each site, however, if it goes above this amount, please contact us for approval before proceeding.  

PLEASE INCLUDE OUR PROJECT NUMBERS WITH YOUR RESPONSE.  

Commercial Property
11670 and 11690-11698 Lilburn Park
Maryland Heights, MO 63146
Project #5607

Thank you for your assistance.  If you need additional information or have questions, please contact me by phone at (314) 480-4641, by fax at (314) 436-2900, or by email at greg@environmentalops.com.
¬
Respectfully,
 
Greg Oberlohr
Environmental Specialist"
814,EPA-R9-2013-008129,"In several Federal Register notices (47 FR 46085, 49 FR 50684, 50 FR 10763, 52 FR 35084, 54 FR 18495), Region 9 EPA has provided notice of delegation of certain Clean Air Act New Source Performance Standards (40 CFR Part 60) to the Maricopa County Department of Health Services.

In a table on page 50685 of volume 47 of the Federal Register, an update is provided of Maricopa County's delegation status for NSPS.  I cannot locate in the Federal Register or elsewhere when Maricopa County was delegated certain NSPS as described in this table.  Specifically, I would like to know when Maricopa County was delegated the authority to enforce subparts D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X, Y, Z, and AA prior to the publication of 47 FR 50685."
815,EPA-R7-2014-007680,"Pursuant to the state open records act, Irequest access to and copies of records pertaining to the following properties located in St. Louis County, MO, including hazardous materials incidents, spills, violations, petroleum releases, emergency response events, other potential environmental concerns on or impacting these sites, all of which are owned by Mapico Inc. and/or Rockwood Pigments (synthetic dye and pigment manufacturing companies):
303 E Hoffmeister Ave, 311 E Hoffmeister Ave, 9636 Perrin Ave, 9704 Perrin Ave, and 9708 Perrin Ave.
This Freedom Of Information Act (FOIA) request is necessary for the purposes of conducting a Phase I environmental site assessment at a set of homes very nearby these sites. If a fee is required for copies of relevant documents, please contact the undersigned promptly to discuss costs."
816,DOC-NOAA-2013-000829,"Dear Coordinator:				
Under the Freedom of Information Act, 5 U.S.C. subsection 552, I am requesting: 
Records, including memoranda, letters of intent or instruction, and official emails, pertaining to the effects of Sequestration on NOAA's FOIA program including civilian staffing (i.e. targeted VERA or VSIP offers, furloughs) and reductions, increases or modifications in contract support for the FOIA processing office and related functions. Scope is limited to effects on the FOIA program and records produced between 1 Oct 2012 and 15 Apr 2013.
Posting these records on the NOAA FOIA website or electronic reading room with notification to the requester will be considered fulfillment of this request.
If there are any fees for searching for, reviewing, or copying the records, please notify me before processing if the amount exceeds $10. Because this information is in the public interest and will be used for academic purposes, I am requesting a waiver for fees.
If you deny all or any part of this request, please cite each specific exemption you think justifies your refusal to release the information and notify me of appeal procedures available under the law.
If you have any questions about handling this request, you may telephone me at 303 956 7113.

Sincerely,
Cameron Ward-Hunt
School of Public Affairs, University of Colorado Denver
1780 Washington St. #301
Denver CO 80203
Robert.ward-hunt@ucdenver.edu"
817,EPA-R3-2014-003863,"On June 14 and June 15, 2010, EPA conduct inspected the City of Newport News, VA MS4 program (NPDES Discharge Permit No. VA0088641).   This FOIA requests a copy of the Final Inspection Report including, but not limited to, any individual municipal facility site inspection  (e.g., Municipal Yards) attachments and photographs contained within the Final Inspection Report.  

If possible, an electronic copy of this report is preferred.   Thank you."
818,EPA-HQ-2014-001501,"I am requesting all records, documents, and e-mails (whether electronic or hard copy) relating to the job availability announcement, search process, applications/resumes submitted, interviews, and hiring of Francesca Grifo."
819,EPA-R5-2014-009715,The description of this request is under Agency review.
820,EPA-R2-2014-007773,"I am completing a Preliminary Assessment in New Jersey and am seeking files related to the Former South Amboy Sewage Treatment Plant Property, Rosewell Street, Block 161.02, Lots 20 & 23 located in South Amboy, Middlesex County, New Jersey.  I am seeking files related to Hazardous Waste/RCRA. Thank you."
821,EPA-R9-2015-001568,"This request is for information and test data related to the PG&E CAES Class V Exploratory Well near Lodi California an include the following to be submitted in electronic format.
· The well drilling contractor daily reports 
· The engineering consultant's daily reports
· Formation Fluid and Hydraulic Testing Results
· Lithologic and Core Descriptions
· Petrophysical and Geo-mechanical Property Laboratory Testing Results
· Geochemical Property Testing Results
· Geophysical Logging Program Plan and electronic copies of the geophysical logs and processed data.
· Well Cementing Plan including theoretical and pumped volume and pressure data recorded during cementing operations  
· Step Rate Test Plan and pressure data and test analysis results
· Fall-off Test Plan, Downhole Pressure data and results of analysis presented in FOT Report
· CAES Injection/Well Operational Testing Plan
· CAES Injection/Well Testing data Class V wells and monitor wells"
822,DOC-NOAA-2013-000135,"This is a request under the Freedom of Information Act (5 U.S.C. §552, as amended).  By this letter I am requesting information from the National Marine Fisheries Service (NMFS) Office of Law Enforcement (OLE) Headquarters about the Joint Enforcement Agreement (JEA) between the State of California Department of Fish and Game (DFG) and NFMS OLE. We would be interested in the JEA Documents, monthly reports, year-end reports, and any non-confidential information in the JEA package, over the calendar or fiscal years of 2009-2011.  

In addition, we would like to understand the funding levels, the level of enforcement provided in return, and where available the records of enforcement activities as funded by the JEA. If enforcement activities are available, it would be useful to know types of violations detected and if a citation is issued. Additionally, it would be useful if records of enforcement activities, violations, and citations were divided by specific location (latitude-longitude) or simply designated within the two national marine sanctuaries of interest to our research (i.e., Gulf of Farallones, Cordell Banks) and the several California State marine conservation areas (SMCA?s) and marine reserves (SMR?s) in northern central coast of California.

I am making this request on behalf of Marine Conservation Institute (MCI).  MCI is a not-for-profit 501(c)(3) organization that works to advance the science of marine conservation biology and secure protection for ocean ecosystems. The requested information will assist us in identifying needs for effective enforcement in the northern central coast of California national marine sanctuaries and the state marine protected areas recently established.  MCI will use this information to understand NMFS OLE enforcement capabilities in California as an independent enforcement entity and through JEA?s. MCI will also use the provided information to identify areas in need of additional funding, and to advocate for change"
823,EPA-R7-2013-009373,"I am seeking information regarding soil and groundwater contamination at 2325 S.E. Delaware Ave., Ankeny, Polk County, Iowa. I believe it currently exists as undeveloped land."
824,DOC-ITA-2012-000260,The description of this request is under Agency review.
825,EPA-R2-2014-006660,"I am completing a NJDEP Preliminary Assessment and am seeking information related to Triune Color Corporation, located at 2605 River Road, Cinnaminson Township, Burlington County, New Jersey.  Designated as Block 202, Lot 1 on the Burlington County Tax map.  Thank you."
826,EPA-R9-2013-004382,"Frank J. Chilli
Centurion Research Solutions
14048 ParkEast Circle
Ste 100	
Chantilly, VA 20151

March 11, 2013

Freedom Of Information Act (FOIA)

Dear FOIA Officer,

Pursuant to the Freedom Of Information Act (FOIA), Centurion Research Solutions requests (pdf soft copy if available) for a copy of the EPA Region 9 RAC 3 contract that resulted from solicitation SOL-R9-11-00007 Response Action Contract III (RAC3) Full and Open that was awarded to Shaw.

We are willing to pay up to $200.00 for the request; however, we require a written estimate prior to processing if the cost exceeds the limit. 

Please acknowledge receipt of this FOIA request by e-mail (fchilli@4centurion.com) or phone (703-956-6387). And please reference our Internal Tracking Number F4557 in any communication with our office.

Thank you.
Sincerely,
 
Frank J. Chilli
Centurion Research Solutions
703-956-6387"
829,EPA-R5-2014-005592,"Any complaints for facilities located at either:
801 E. 138th Street Dolton IL
or
2000 E. 122nd Street Chicago IL"
830,EPA-R2-2014-010102,"Durable Recycling Facility; 187 & 195 East 22nd Street; Block 452.01, Lots 1 & 2; Owner: 195 E. 22nd St. Urban Renewal; City of Bayonne, Hudson Co., NJ

Whitestone Associates, Inc. (Whitestone) is conducting a Phase I Environmental Site Assessment at the above-referenced location.  Whitestone requests the opportunity to access, review, and copy any available files addressing or pertinent to environmental investigations, underground storage tanks (USTs), corrective actions, contaminant releases, incidents, fires, hazardous materials storage, citations, notices of violation, or other areas of concern at the above referenced property."
831,CBP-2014-039757,"ANY AND ALL RECORDS PERTAINING TO CROSSING THE US BORDER, SUCH AS: EXPEDITED ORDERS AND REMOVAL RECORDS"
832,CBP-2015-015251,"ON OR ABOUT 04/2003 A VISITOR VISA WAS CONFISCATED TO THE LAREDO, TX BORDER . WE ARE REQUESTING A COPY OF THE DOCUMENTS RELATED BUT NOT LIMITED TO THAT EVENT"
833,EPA-R7-2014-005045,"Pursuant to the Freedom of Information Act, Roth Environmental Consultants, Inc. is requesting information or copies of records pertaining to any reported environmental problems of a hazardous or toxic nature that may have occurred at the property referenced below:

Former Automobile Dealership
1040 Southwest Wanamaker Road
Topeka, Kansas 66604

Section 33 ? Township 11 S ? Range 15 E

File Number:  030-P1-2014.001

Our request includes, but is not limited to, information pertaining to the National Priority List (NPL), Comprehensive Environmental Response, Compensation and Liability Information System (CERCLIS), Hazardous Waste Date Management System (HWDMS), and any reported problems in water, air and hazardous spills.

This request does not include information regarding storage tanks or PCBs.

If you have any questions, please give me a call.  Thank you for your assistance."
834,CBP-2014-043012,The description of this request is under Agency review.
835,EPA-HQ-2014-000447,"Pursuant to the Freedom of Information Act, 5 U.S.C. § 552, I hereby submit this request on behalf of Baja, Inc., for any and all documents (including any and all written or electronic correspondence, audiotapes, electronic records, videotapes, photographs, telephone messages, voice mail messages, e-mails, facsimiles, daily agendas and calendars, information about meetings and/or discussions, whether in-person or over the telephone, agendas, minutes and a list of participants for those meetings and /or discussions) in the possession, custody or control of the U.S. Environmental Protection Agency (?EPA?) related to, Vehicle/Engine Category?50cc Highway Motorcycles with Certificate Numbers 7TMTC.049MC3-003-R01, 8TMTC.049MC3-001,  9TMTC.049MC3-003 and ATMTC.049MC3-001  manufactured by Chongquin Huansong Industries (Group) Co. Ltd., imported by Tomoto Industries, Inc. and sold or distributed by Baja, Inc., including the Baja SC50 and the Baja RT50."
836,EPA-R5-2014-006119,"Any and all records as it pertains to RCRA and CORRACTS information for the following addresses:

6855 West 65th Street, Bedford Park, Illinois

6600-6650 South Oak Park Avenue, Bedford Park, Illinois

IF the processing fees are more, just let me know and can discuss. Also if you have any questions or need more information , please feel free to contact me. Thanks!"
837,EPA-R3-2014-008470,"For the years 2000 through present, for the following entities: a) Oldcastle, Inc., b) Tilcon Connecticut Inc, c) Tilcon New York Inc., d) Callanan Industries Inc., e) P.J. Keating Co., f) Pike Industries Inc.

 1) notices of violation (for both enforcement matters and any violations regarding EPA-issued permits); 2) EPA/ law enforcement tickets; and 3) consent orders with the EPA; 4) any similar type of document regarding compliance issues/ violations of environmental laws"
838,EPA-R5-2013-007092,"Terracon Consultants, Inc. (Terracon) requests a search for records as part of an environmental assessment for the following parcel located in Gahanna, Franklin County, Ohio:

	275 W. Johnstown Road (Parcel 025-000850),
	
Terracon is contacting several local government agencies as part of an environmental assessment at this property.  Terracon requests information on releases reported under Title 42 United States Code, Chapter 116, Section 11004; Information on regulatory compliance to the extent of any notices of violations, excursions, corrective action orders, or fines/penalties against any business or operation occurring on the subject property over any environmental permit or license;  and records concerning the current or former presence of hazardous substances or petroleum products on the property, such as: underground storage tanks, aboveground storage tanks, hazardous wastes, hazardous emergency responses, spills, and/or site remediation.

Your assistance is greatly appreciated.  

Sincerely,

John Thornburg
Project Geologist 
Terracon Consultants, Inc. 
790 Morrison Road I Columbus, Ohio 43230 
P 614-863-3113 I F 614-863-0475 
jethornburg@terracon.com"
839,DOC-CEN-2014-001072,Any e-mails or memoranda sent or received by employees of the Bureau of Labor Statistics with regard to the release or the delay of the release of data from the Tobacco Use Supplement (TUS) of the Current Population Survey that was conducted in May 2011.
840,EPA-R8-2015-003600,"Specialty Earth Sciences, LLC (SE Sciences) is conducting a Phase I Environmental Site Assessment and requests available files, permits, citations, and/or any records associated with the following property: 19672 E. 34th Drive, Aurora, CO 80011."
841,EPA-R5-2013-005818,"This request is for parcel # 93219007 located directly to the west of address 160 E Washington St. in Chagrin Falls, Ohio 44022.  The parcel is currently vacant and has no associated address.  The parcel to the west is vacant as well."
842,EPA-R10-2013-002465,"The 104(e) response(s) filed by King County regarding the property at 5209 E. Marginal Way South in Seattle, currently leased by Manson Construction."
843,EPA-HQ-2014-004569,"Hello,
I'm looking to obtain a detailed listing of ALL Federal Institutional Controls (ICs) and Engineering Controls (ECs) that are in place covering all the 10 EPA Regions.
To further explain, ICs are non-engineered instruments, such as administrative and legal controls, that help minimize the potential for human exposure to contamination and/or protect the integrity of the remedy. Although it is EPA's expectation that treatment or engineering controls will be used to address principal threat wastes and that groundwater will be returned to its beneficial use whenever practicable, ICs play an important role in site remedies because they reduce exposure to contamination by limiting land or resource use and guide human behavior at a site. For instance, zoning restrictions prevent site land uses, like residential uses, that are not consistent with the level of cleanup.
ECs encompass a variety of engineered and constructed physical barriers (e.g., soil capping, sub-surface venting systems, mitigation barriers, fences) to contain and/or prevent exposure to contamination on a property. 
Please note that my request is not site specific but rather I am interested in ALL Federal ICs and ECs data. This would include all ICs and ECs from the Superfund and RCRA programs, plus any other that exist.
Attached is an example of what was previously sent for this request. If you could please send the file in either text, Excel or Access format it would be highly appreciated. Thank you."
844,EPA-R6-2013-001626,"Any information about or relating to any underground storage tanks, aboveground storage tanks, septic systems, water supply wells, spills/releases of hazardous materials, asbestos-containing materials, lead-based paint, on-Site waste disposal, polychlorinated biphenyls (PCBs), emergency response actions related to environmental issues, and/or any other records from an environmental history perspective.

Approximate address
13215 E Sam Houston Parkway N
Houston, TX 77044"
845,EPA-HQ-2013-003165,"Please forward to me a copy of the releasable portions of the following pesticide documents for the new active ingredient alpha-cypermethrin:
M. Collantes, 9/4/2012, D403601, Alpha-Cypermethrin. Occupational and Residential Exposure and Risk Assessment to Support the Registration of the New Active Ingredient on a Variety of Food Crops.

W. Drew, 9/7/2012, D378683, Alpha-Cypermethrin. Petition to Establish Permanent Tolerances for Residues of the New Insecticide Resulting from Food/Feed Use on Various Raw and Processed Agricultural Commodities. Summary of Analytical Chemistry and Residue Data.

E. Holman, 9/7/2012, D403600, Cypermethrin, Alpha-Cypermethrin, and Zeta-Cypermethrin.
Acute and Chronic Dietary Exposure and Risk Assessment ? Zeta-Cypermethrin Uses on Tropical Fruit, Artichoke, Barley, Oat, Rye, Buckwheat, and Pistachio, and Alpha-Cypermethrin Uses on Various Raw and Processed Agricultural Commodities.

I. Maher, 2/22/2011, D378901, Drinking Water Assessment for Zeta-Cypermethrin for New Food Use on Globe Artichoke, Barley. Buckwheat, Oats, Rye, Pistachio. Avocado, Papaya, Star
Apple, Black Sapote, Mango, Sapodilla, Canistel, and Marney Sapote.

I. Maher, 2/22/2001, D385246 (report title not known to me).

Report of the Residues of Concern Knowledgebase Subcommittee (ROCKS) for alpha-cypermethrin (date and author not known to me).

Cancer Assessment Review Committee (CARC) report for alpha-cypermethrin (date not known to me).

Please note that this new active ingredient was first registered on January 24, 2013 under EPA Reg. Nos. 7969-298 and 7969-299."
846,EPA-R7-2013-002546,"I am requesting documents related to two sites:
   - Standard Precision, Inc. site located at 4105-4129 West Pawnee Street in Sedgwick County, Wichita, KS
   - Standard Products, Inc. site located at 650 East Gilbert in Sedgwick County, Wichita, KS

I am requesting the following documents:
- EPA Region 7's 104(e) request to Raytheon asking Raytheon followup questions regarding its submission to Region 7 through Lathrop & Gage on 11/27/10
- Raytheon's response to the same 104(e) request

Please contact me if you have any questions. Thank you for your assistance."
847,EPA-R1-2014-009580,"Letters from the US EPA Region 1 addressed to bulk salt storage sites.  The letters from EPA Region 1 would address:
1.  NPDES permit applicability determination for bulk salt storage sites, i.e. does a particular site/facility require an NPDES permit to store and handle salt?"
848,EPA-R2-2013-002410,"Please provide any and all insurance policies and other insurance policy related documents evidencing insurance coverage identifying Cornell-Dubilier Electronics, Inc. as an insured."
849,EPA-R7-2015-001165,"Ms. Barker:

Environmental Operations, Inc. is conducting Phase I Environmental Assessment on properties located in Missouri. Under the Freedom of Information Act, we request any information, complaints, or environmental concerns (e.g., RCRA, superfund, air emissions, water emissions, industrial activities, etc.) your agency may have regarding these sites and surrounding properties.

In addition, a general zip code search is a sufficient response to this request.  We will notify your office if we need additional information.  

We are willing to pay up to $25 for each site, however, if it goes above this amount, please contact us for approval before proceeding.  

PLEASE INCLUDE OUR PROJECT NUMBERS WITH YOUR RESPONSE.  

Taco Bell
2525 North Highway 67
Florissant, MO 63033
Project #5605

Thank you for your assistance.  If you need additional information or have questions, please contact me by phone at (314) 480-4641, by fax at (314) 436-2900, or by email at greg@environmentalops.com.
¬
Respectfully,
 
Greg Oberlohr
Environmental Specialist"
850,EPA-R6-2014-010788,"Any and all records and documents regarding Louisiana Army Ammunition Plant at Camp Minden, in Webster Parish, Louisiana."
851,EPA-R6-2014-009316,"I'm seeking a copy of the Risk Management Plan for the E. I. DuPont De Nemours facility located at 5470 Twin City Highway, Nederland, TX 77704. Specifically, I need the most recent RMP (within the past 5 years) relating to their ammonia tanks. It is possible that the owner/operator will be listed under another name such as Pandora Methanol, BMC Holdings, OCI Beaumont, etc."
855,EPA-HQ-2013-008355,"Dear Sir or Madam:

Pursuant to the Freedom of Information Act (FOIA) (5 U.S.C. § 552), and EPA's freedom of information regulations, I am writing to request information regarding the chemical substance identified generically as waste plastics, poly(ethylene terephthalate), depolymd. with diethylene glycol and propylene glycol (CAS RN 774198-60-6).  We are requesting non-confidential versions of the following:

(1) The PMN associated with CAS RN 774198-60-6;

(2) The TSCA section 5(e) order for this substance; and 

(3) Any other documents or correspondence relating to the PMN for CAS RN 774198-60-6 such as, but not limited to, amendments, notice of commencement, and TSCA Inventory Update Rule or TSCA Chemical Data Reporting Rule forms.

We agree to pay reasonable search and reproduction costs for this information, up to $25.  A quick response would be greatly appreciated.  

If you have any questions concerning this request, please do not hesitate to contact me at (202) 434-4304 or waldenmayer@khlaw.com; or my colleague, Jackie Williams, at (202) 434-4142 or jwilliams@khlaw.com.  Thank you in advance for your assistance."
856,EPA-HQ-2015-002910,"In accordance with the Freedom of Information Act (FOIA), Vistronix, LLC. (Vistronix) respectfully requests a copy of the task orders released under the following contract, including the name of task orders, modifications, attachments, period of performance, scope of work, awarded level of effort, actual level of effort, awarded costs and actual costs.

Contractor:		LOCKHEED MARTIN CORPORATION
Description:		INTEGRATED COMPUTING FOR THE ENTERPRISE
Contract No.:		ITSEPA110001
Contracting Officer:	Jason Schmitt

Please forward the documents to Ms. Angela Butler at the following address:

Vistronix, LLC.
Attention: Angela Butler
11091 Sunset Hills Road, Suite 700
Reston, VA 20190

Vistronix will be happy to reimburse the government for all reasonable costs associated with duplication of the requested records.  If the above records are available in electronic format and it is possible to send them via e-mail in lieu of paper records, that would also be acceptable and appreciated.

If you have questions, please contact me by phone at 703-483-2302, or by e-mail at lisa.kennedy@vistronix.com.  

Sincerely,
Lisa Kennedy"
857,EPA-R5-2014-004094,"Requesting releasable RCRA information:

#ILD005145057-Rich , 555 Allendale 
#ILD984915926-3X, 331 E Dundee
#ILD984774265-Family, 522 W Dundee
#ILR000008797-Cleaners, 751 W Dundee
#ILR000015818-Penske, 780 W Dundee 
#ILD982638926-Yus, 23 W Dundee
#ILD984813410-Victory , 311 Egidi
#ILR000152884-SMW, 285 Egidi 
#ILD984832477-Cellogias, 236 A Egidi
#ILD984780080-Creek, 286 Mchenry 
#IL0000929273-Wheeling Village of, 252 Northgate 
#ILD984904136-Cady, 135 S Wheeling
#ILR000108191-Village of Wheeling, 98 Willow 
#ILD045064011-Park Manor, 63 to 69th Wolf 
#ILD984924217-USA Gear, 115 N Wolf 
#ILR000038935-Wheeling Park, 222 S Wolf 
#ILD984788844-Mercury, 475 Allendale 
#ILD984834804-K Mart, 780 W Dundee
#ILD984804674-Ill Bell-Q65100, 50 E Dundee 
#ILD984804690-Ill Bell-Q65100, 78 E Dundee 
#ILR000079897-Equilon, 801 W Dundee
#ILD025354622-Todd Tom Chevrolet, 700 W Dundee 
#ILD984825422-Mobil, 13 N Milwaukee and Dundee
#ILD984818757, Seventy, 775 W Dundee 
#ILR000124628-Wheeling Police Dept, 225 W Dundee 
#ILR000004689-Wheeling Police Dept, 255 W Dundee
#ILD046535092-Wheeling School Dist 21, 999 W Dundee 
#ILD984845883-Phillips, 14 N Elmhurst 
#ILR000058065-Village of Wheeling Auto Bldg, 18 N Milwaukee 
#ILD025837287-Kenny, 250 Northgate 
#ILD984920462-Economy Mechanical Industries, 77 S Wheeling 
#ILD984844456-Dundee & Wolf Automotive Svc, 11 E Dundee 
#ILD984924084-Dundee & Wolf Automotive Svc Inc, 11 E Dundee 
#ILD984832543-Duxler Tire, 52 S Milwaukee
#ILD984827139-Checkpoint, 723 W Dundee 
#IL0000917138-Office, 105 N Wolf
#ILD114544224-Wheeling Cleaners, 277 E Dundee 
#ILD984908350-Borden, 212 N Wolf 
#ILD181262452-Art Cleaners, 1089 W Dundee
#ILD982642597-Aargus Plastics Inc, 540 W Allendale 
#IL0000993634-Adhesive , 420 Northgate 
#ILT180012635-Bernard , 119 N Milwaukee 
#IL0000616425-ILDOT, SW Corner Milwaukee and Wolf
#ILD069478832-Progressive, 512 Northgate
#ILD984906156-Skokie Vally Reproductions, 541 Northgate Pkwy"
858,EPA-R3-2013-003005,"Requesting files associated with the following CERCLIS-NFRAP facility: 

EPA ID - VAD980716203; Site ID - 0302761 
Hopewell Regional Plant
Route 10 
Hopewell, Virginia 23860

Specifically seeking information on location (i.e. map with property boundaries outlined), nature of releases, remaining presence and extent of contaminants, and what actions were taken to clean-up the site. This information will be used for a Phase I Environmental Site Assessment."
859,EPA-HQ-2012-001481,Appeal of FOIA Request HQ-FOI-01841-12.
860,EPA-R2-2014-007980,"Carnevale Gulf Service Center Inc.
11 E Hobart Gap Road (A.K.A. 625 S. Livingston Avenue), Livingston, Essex County, NJ 07039
Municipal Code 0710, Block 4804, Lot 23

BRENNAN ENVIRONMENTAL is in the process of conducting a Phase 1 environmental investigation for the above referenced property. We are requesting public records from the EPA, NJDEP, Fire, Building/Code Enforcement, Engineering, Health Department and any other department or agency where such information is available. Pursuant to the Freedom of Information Act, we would appreciate information regarding underground and/or above ground storage tanks, asbestos, PCBs, hazardous material spills, stressed vegetation, use of fill and/or historic fill, discolored and/or disturbed soil, odors, hazardous substances, community right to know, radon, enforcement actions, environmental permits, remedial actions, remedial investigations, ISRA applicability, environmental liens, and/or other issues of an environmental nature that may affect health and safety or the value of the property. We would appreciate your help in providing information for the above property."
868,EPA-R8-2014-010024,"I am trying to determine why the following two facilities were required to have Risk Management Plans, i.e. what chemicals triggered RMP?
1) Herman Oil Bulk Storage, Williston, ND, RMP ID 100000106315
2) Tioga Oil, Tioga, ND, RMP ID 100000208811

For both of these facilities I would like a copy of the RMP summary or other documents that can explain why they were subject to RMP."
869,EPA-R5-2014-003585,"Lawhon & Associates, Inc. is an environmental consulting firm that has been retained to perform an environmental hazard assessment and investigation of he properties described as follows:
 
B&E Landfill 
State Route 104 
Wayne Township, OH 43113  

Please see the attached document for more information."
870,EPA-R7-2014-000648,"I am interested in obtaining a cd with a copy of the entire file of the following National Priorities List facility: Former United Zinc & Associated Smelters; Highway 54 & Kansas Drive, in Iola, Allen County, KS; EPA ID No.: KSN000705026; Docket ID No. EPA?HQ?SFUND?2012?0599.  I am especially interested in files concerning the existing Citizens Bank Property at 1206 East Street in Iola, KS: Coberly Smelter/Recycling Facility/Emprise Bank (Citizens Bank Property, 1206 East Street) and East Iola Smelter (East & Kentucky Sts).  Please call me or e-mail me with a cost estimate and timeframe for obtaining a cd with these file documents included in .pdf.  If the cost of copying the entire Former United Zinc & Associated Smelters file to a cd is cost prohibitive, please forward me a .pdf copy of the site file index.  Thank you!"
871,EPA-R9-2014-000285,"Dear Sir/Madam:

Please accept this letter as a formal request for records searches of the properties referenced below under the Freedom of Information Act. This request comes as part of an environmental review being performed by ERM-West, Inc. (ERM).

ERM is requesting information on the following property:

850 Capitolio Way Units B,C,D,E & F and 860 Capitolio Way Unit C, San Luis Obispo, CA 93401

ERM is interested in records concerning environmental permits, hazardous materials, waste, violations, spills, underground or aboveground storage tanks, sumps/clarifiers or other subsurface structures, remedial action, and case closure documentation, or any records than indicate environmental concern at the above-referenced site and immediately neighboring properties as part of a department-wide records search. I am requesting information concerning these issues as far back as your historic records support.  

Please send information via email, including a reply of no information in files, if appropriate, to me at kristie.klose@erm.com. You can contact me at (805) 684-0625 or by email to schedule a file review appointment.

Thank you in advance for your attention to this request.  

Sincerely,
Kristie Klose"
872,EPA-R9-2014-000351,"Hello,
 
I would like to request a copy of the Operation and Maintenance Plan for the Palmdale Hybrid Power Project, which is required by Condition III. C. of its PSD permit issued in October 2011.
 
Thank you,
 
Andrew E. Holway
. . . . . . . . . . . . . . . . . . . . . . . . .
Hopping Green & Sams, P.A. 
 
119 South Monroe Street, Suite 300
Tallahassee, FL  32301
 
850.425.2273 | hgslaw.com | Attorney Bio"
873,EPA-R2-2015-000837,"Ms. Wanda Calderon
Freedom of Information Officer					
USEPA Region 2
290 Broadway, 26th Floor
New York, New York 10007-1866

Re:	Freedom of Information Request
57 Park Avenue
New York, NY 10016 
	
			
Madam:

I am writing you under the provision of the New York Freedom of Information Law (Article 6, Public Officers Law) to request access to certain information available from your agency.  I would like to receive information regarding the known or potential environmental and public health hazards posed by the site located at the following address:

Tax Block, Lot	Address	Alternate Address(s)
Block 893, Lot 5	57 Park Avenue, New York, NY 10016	NA

Specifically, I would like to obtain:

?	A summary of any record of decision regarding investigation or clean up at the site;
?	Notification of the lead agency that is primarily responsible for investigating and cleaning up the site;
?	Notification of any legal action involving the site;
?	Detailed reports, monitoring data, regulatory non-compliance notices, documents or studies regarding any pollution problems at this site, and how I may obtain copies of them or review them in person.

If there are any fees imposed for searching or copying the materials I have requested, please inform me of that fact before filling this request.  I would appreciate your handling this request as quickly as possible.  Thank you for your attention.  I await your reply.


Sincerely,
STV Incorporated"
874,GSA-2015-000203,"I am requesting records pertaining to the August 5, 1974 collapse of an office building used at that time by federal agencies including the DEA in Miami. The address of the building was 201 N.E. 12th Street, Miami, Florida.  Following the building collapse and tragic loss of life, investigations were conducted.
 
Specifically with regard to the causes of the collapse, in terms of construction, renovation, inspection, and compliance with law, regulation and standards, please provide all relevant reports, documents, communications, investigation materials, findings, actions, and other records.  Please also provide any/all indexes of these items.
 
Please provide these items as quickly and efficiently as possible; DVD or CD format rather than paper where feasible.  
 
These materials are necessary for research and public service projects currently underway.  Please acknowledge this FOIA request, convey any questions there may be, and estimate a time frame for production of the records.  The assistance of your office is truly appreciated.
 
Paul Novack"
875,EPA-R10-2014-010730,"Please provide copies of the following (electronic or hard copy):

(1) The response of South Park Marina Limited Partnership to EPA's 104(e) Information Request submitted on or about June 6, 2008, in connection with the Lower Duwamish Waterway Superfund Site located in Seattle, Washington;

(2) any other documents pertaining to the operations of South Park Marina Limited Partnership on or adjacent to the Lower Duwamish Waterway."
876,EPA-R4-2014-005539,"James A. Taylor. et al. vs. Afton Pumps. et at.
Broward County Case No: 13-08335
Dear Sir or Madam:
1333 S.E. 25th Loop, Suite 101
Ocala, Florida 34471· 1071
Telephone 352·732-2255
Facsimile 352·351-0166
www.bicecolelaw.com
? Also Admill~d in Taw
? Board Crnifi~d Cilil Trial
?CI!nijiM Cin:ui1 Coun Mt!diawr
Jean A. Dice, Retired
Our firm is involved in the above-referenced case and we are requesting copies of all
asbestos abatement records pertaining to the following facilities:
? Georgia Pacific Container Plant in LaGrange, Georgia.
? Proctor & Gamble in Albany, Georgia
? University of Georgia in Athens, Georgia
? Baldwin County Hospital in Milledgeville, Georgia
? Merck Plant in Albany, Georgia
Please see the attached schedule '\A\"" for detail list of the record request. Please forward"
